content,score
"coba pake npure cica toner ini pas muka lagi banyak jerawat gede” merah”, aku pake metode csm pake kapas yang tipis banget gitu dan it works. calming banget di jerawat aku jadi ga nyut”an gitu. tonernya juga tipe yang watery banget, jadi kulit berasa dikasih minum",5
aku pake ini udah lebih dari dua tahun dan ini produk pertama dari npure yang aku cobain dan sebagus itu apalagi buat kulit yg berjerawat ini ngecalming banget sih dan ngebantu ngempesin jerawat jerawat yg mendem mendem bagus deh must try banget,5
"Akhirnya berani in buat coba toner ini versi travel size nya, dan hasilnya cukup bagus di kulit aku. efektif buat meredakan jerawat dan beruntusan. tekstur nya juga enak bgtt. repurchase? yess pasti bgt beli yang besar... luv bgt........",5
"Toner yang lagi diomongin di mana-mana. Ingridientsnya bagus dan cocok buat acne skin, calming jerawat, ngurangin bruntusan, setelah dipakai bikin seger di wajah. Udah repurchase beberapa kali karena sukaa. Aku rekomin ke temen dan temenku juga cocokk.",5
Toner paling aman yang fokus buat acne care. Cepet banget buat ngebantu brighten and refine my skin. Ga neko neko dan bener bener oke buat ngebersihin muka dr kotoran. Bonus nya wajah jd lebih cerah and calming! super happy! super recommended for acne prones skin,5
"Untuk permasalahan jerawat yang meradang, muka “gradakan” dan jerawat yang suka on-off ini ciamik banget! around 5 bulan aku rutin pake, jerawat ku mereda dan ngga kembali lagi. texturenya ringan, ga lengket tapi tetep lembab. super worth it!",5
Cocok banget buat acne prone skin setiap habis pakai meredakan kemerahan di muka dan bikin jerawat calming. Uda setaun lebih pakai toner ini cocok banget selalu repurchase harganya juga affordable sering diskon dan gampang bgt ditemuin,5
"jujur banget toner npure ini bagus banget di kulit aku yang sensitive aku udah pemakaian 1tahun lebih, efek di muka aku mengurangi bruntusan di muka, mencegah jerawat tumbuh juga, bikin muka cerah, menghidrasi banget di muka, mudah juga menyerap di muka.",5
"toner wajah dengan kandungan real centella leaves, green tea selain sebagai toner dia juga bisa membantu membersihkan wajah dari sisa kotoran, membantu mencerahkan kulit, after pemakaian terasa segar, lembut, lembap dan memberikan efek calming pada kulit! recommended!",5
"NPURE Cica Face Toner merupakan Hydrating toner dengan pH balance yang mengandung Real Centella Leaves, 11x Acne Power Fighter, dan Tranexamic Acid untuk membantu membersihkan wajah dari sisa kotoran, mencerahkan kulit wajah, merawat kulit berjerawat serta membuat kulit terasa segar, lembut, dan lembap.",5
"pengalaman pertama membeli cica toner ini pas pandemi, dimana kita tidak bisa produktif di manapun. dan saat itu npure belum se good sekarang, first time pakai ini bener - bener calming dan mulussin muka aku yang gradakkan karna strees dan ga ngapa - ngapain di rumah. untuk my friends yang acne dia suka pol karna ngaruh di mukanya.",5
Toner lokal pertama ku yang ada efek nya di kulit ku ! Sukaa bgt sama efek calming nya terutama dikulut acne prone ku ini. Shooting and calming nya dapet banget. Aku biasanya pake toner ini di kapas dan didiemin di muka agak lama. Must try ! Suka,5
"nyobain ini toner pertama kali pas pandemi kemarin yang katanya dia ini viral di tiktom bagus bgt untuk ph kulit, melembabkan, di aku lumayan sih kadang perih tapi dan gabikin jerawatan untungnyaa, tonernya juga kayak agak bau alkohol mungkin ya",5
"toner npure dengan kandungan cicapad ini sangat membantu memberantas herawat diwajahku, jerawat aktif diwajah keesokan harinya sudah kempes. ini keren sekali terimakasih kepada npure yang telah mengeluarkan produk toner yang thebest",5
"sangat menghidrasi kulit wajah, cocok banget buat yang lagi jerawatan ataupun lagi normal, sangat recomend buat kompres yang lagi jerawat meradang, daya resap nya juga cepet banget, bakalan repurchase soalanya ringan banget di wajah.",5
"pertama kali cobain ragu-ragu, karna sedikit price. tapi karna di tester teman cocok, akhirnya malah keterusan. karna gak buat iritasi di wajah dan serasa fresh walaupun cuman pakai toner aja, harum cepat menyerap dan wajah cepat bersih",5
"toner ini beneran ngebantu jerawatku buat sembuh pake metode csm (kapasnya dibasahin terus ditempel di area berjerawat selama 10 menitan). aromanya ga aneh-aneh, aku sukaa. yang size kecil literally kecil-kecil cabe rawit hehe pasti repurchase lagi sih!",5
"kenal produk ini waktu lihat review di youtube female daily. awalnya tertariknya sama facewashnya karena ada brushnya tai waktu lihat e-commerce ada toner ini dan aku coba buat beli. produk ini salah satu yang membantu banget, dulu yang awalnya jerawat lumayan sering sampek yang juarang banget ada.",5
"Kulit wajahku dulu keriiinggg bangett , maybe belum mengenal product ini, aku mengenal product ini karena beauty vlogger review product ini , dan setelah membaca melihat formulanya yg bisa buat lembab in muka , aku beraniin buat beli, iiih bgus bgt setelah pake sebulan.",5
"Tonernya Npure bagus sih buat kulit berjerawat apalagi buat kompres jerawat biar cepet kempes terus ditambah serum acne juga combinasi yang mantab bgt. Harganya juga ga terlalu pricey, worth to buy lah buat kulit berjerawat dan yang lagi break out",5
"ini tuh toner yang bangus banget buat nenangin kulit ku saat muncul jerawat tanpa memnimbulkan iritasi kulit soalnya terdapat kandungan real centella leaves, selain terdapat centella juga ada kandungan lain seperti tranecamic acid yang membantu mencerahkan kulit wajah juga",5
"terdapat REAL CENTELLA LEAVES dalam kemasan, tekstur yang cair bikin kulit segar dan lembab setelah pemakaian,netto150ml, oke POLL buat dikompres di area meradang atau kemerahan karena jerawat menggunakan kapas, wanginya calming^^",5
"Karena kulitku acne banyak yang rekomendasiin produk Npure satu ini.Pertama coba pakai yang travel size dulu eh kok jerawat aku yang mendem mulai hilang,bekas jerawatku juga ikut terhempas.Kalo muka lagi break-out tinggal csm aja pakai toner ini",5
"cocok bangett sumpah buat wajahku pas lagi breakout , beruntusan kemerahan , besok paginya langsung mereda kemerahannya . sukak banget dan bakal repurchase lagi 🙏🏻 punya 1 juga yg kecil dipake kalo pas lg ada kerjaan diluar . i love it 🫶🏼✨🤩💝😍✨",5
Ini toner bener-bener viral ya kemarin di tik tok dan aku langsung coba.... Emang nggak diraguin lagi kandungan centella Asia 3 itu memang bagus banget buat kulit yang sensitif dan juga gampang berjerawat bahkan ini juga cocok di kulit yang normal pokoknya all type skin lah cocok... Dan ini juga yang aku suka ada daun aslinya jadi kemasannya lucu wkwkwk,5
dari awal launching udah sepenasaran itu sama produk ini dan ternyata cocok! di kulitku yang lagi berjerawat dan oily ini bisa bantu untuk calming dan hydratingnya bisa aku bilang oke banget ga yang too much untuk oily skin. pernah aku coba layer sampe 5x tetep enakeunn,5
"aku suka texture dan cepet banget buat kempesin jerawat pas lagi ada beruntusan atau jerawatan , nyaman , cepet serap dan ga kecium wangi apa2 jadi aman buat sensitive skin juga. Packaging nya simple banget, ringan juga. Untuk wangi nya calming banget sih. Untuk tekstur toner nya sendiri yaitu cair. Pas aku aplikasiin ke mukaku, agak sedikit lengket huhu.. Tapi ini bagus banget deh serius, soalnya aku pake malem mau tidur pas mukaku lagi jerawatan merah gitu dan ku diemin sampe pagi ternyata jerawatnya kempes dong.. Dannn yg aku suka banget, Npure ini sangat membantu kemerahan",5
"selalu suka sama produknya npure apa lagi yang toner ini,dipakenya malem untuk csm an besokannya bruntusan langsung pada ilang.. pokoknya the best deh. ini kondisi muka aku setelah setahun lebih pake toner ini jadi lebih baik dari yg sblmnya",5
"Jadi toner kesukaan..pas banget mau haid, beruntusan di wajah, pakai ini perlahan tapi pasti beruntusan berkurang, jadi kering nglupas tipis di bagian beruntusnya, stlh itu ditimpa toner hydrating lanjut rangkaian skincare serum...",5
"Toner Npure ini cocok banget untuk kulit kering, sensitif bahkan acne prone. Teksturnya cair, cepet menyerap. Hasilnya, cukup melembabkan, menghidrasi dan bikin kulit jadi calming. Dengan kemasan ukuran segini, harganya cukup terjangkau. Dan untuk hasil maksimal, pakai 1 rangkaiannya ya.",5
"Produk penyelamat kulitku kalau sedang breakout ataupun sedang iritasi, dijadiin toner biasa dan dibuat csm an makin nge boost sih, kulitku normal-dry tpi aman pakai ini tetap lembab gaada drama kulit kering sampai ketarik aman aja sangat works",5
"Suka bangeeett sama toner ini,karena akhir akhir ini wajahku lagi rewel jadi toner ini cocok banget sm wajahku,sangat recomended karena selain dia bisa membantu menyembuhkan jerawat toner ini juga cukup baik untuk mengangkat kotoran di wajah dan aman dipakai untuk pagi dan malam",5
Ngga tau uda habis berapa botop 3-4 botol kayanya karena aku suka banget awalnya cuma pake kalo lagi breakout dan beneran bikin calminh kulit aku awalnya tertarik karena ada daun centella aslinya terus beli ternyta bagusss banget kalo wajah lagi jerawatan breakout jd calming,5
toner kecintaanku sejak lama!!<3 sesuka & senyaman itu pake toner ini. kl mulai muncul bruntusan atau jerawat kompres pake toner ini 2 hari jg kempes. trs jg buat ngeringin jerawat ampuh sekali. wanginya jg enak he he susah deh buat pindah ke lain hati hahaha,5
"Iseng nyoba beli travel size. Ternyta malah jatuh cinta. Disclaimer: kulit ku dry-sensitive. Daya serap toner ini bagus bgt, cepat & gak lengket. Toner ini gak bikin gerah, tp ttp ngasih hidrasi yg pas di kulit ku yg super kering. Pasti akan repurchase full size nya!",5
"ini bisa banget kalian jadiin &#34;rumah&#34; kalo kulit kalian lagi ngamuk sih. aku selalu pakai kalo misalnya tibatiba ada beruntusan ataupun kemerahan, kalo beruntusan emang tergantung karna apa nya si. tapi kalo kemerahan paginya redaan banget",5
"So far so good, baru hampir sebulanan sih pakai ini. Sebagai ganti ganti untuk toner malam. Di muka enak feel nya adem. Kalau kulit lagi marah juga bisa adem in kulit. Harganya juga terjangkau. Cukup cocok dengan produk2 dari brand npure ini.",5
"tonernya oke bangett, aku biasanya pake buat ngompres jerawat dan pasti BANGET jerawat bakal kempes besoknya!! ga langsung totally hilang tapi mendingan gituu!! highly recommended apalagi kalo dibarengin peeling, bakal lebih cepet kempes jerawatnyaa",5
"THIS IS A MUSY HAVE PRODUCT BUAT KALIAN YG LAGI BREAKOUT, TERUTAMA YANG GA COCOK GARA GARA TREATMENT!! Wajahku bkn tipe yg mudah jerawat, tapi gara gara pergi treatment jd breakout parah. Iseng coba produk ini krn kakel aku jg pake dan jerawat dia sembuh.",5
"Aku beli ini dari FDxBeauty Jogja. Aku butuh toner yang hydrating dan calming, pilihanku jatuh ke toner ini. Cair, nonfragrance, dan cukup melembabkan. Mampu menenangkan bruntusan dengan metode CSM selama 10-15 menit. Selama 6 bulan pemakaian, aku senang dengan hasilnya. Dia bantu merawat jerawatku yang meradang. Terima kasih N-Pure!",5
"dari packaging nya oke banget sih. secure banget padahal aku punya yg ukuran travel size. selain tutup putar, ada katup nya lagi. untuk tekstur luquid seperti air pasti nya karena jenis produk ini toner. di aku gak ada reaksi negatif apa pun. dan ampuh banget untuk jerawat. begitu mau muncul jerawat langsung di kompres pake ini trus besokannya gak jd jerawatan. dan yg aku suka bgt jg adalah produk ini natural, vegan, jadi gak usah takut terlalu keras di wajah. wangi nya enak relaxing, bahagia bgt deh pokok nya saat pke produk ini",5
"aku awalnya pake karena dikasih sih, kebetulan waktu itu aku ngga pernah pake toner jadi aku pake ini aja nyoba nyoba, ternyata ini bagus bgt buat calming karena posisinya waktu itu aku lagi breakout dan cukup parah, jd menurut aku ini bagus sih",5
"kulitku super oily dan gampang berjerawat, produk ini sering muncul di fyp tiktok aku, penasaran banget kok orang² pada cocok untuk kemerahan gitu yg ditempelin kapas. aku beli nyoba sekali doang tuh ga cocok, malah nambah merah dong 😭😭 padahal itu aku pake kapas loh, yaudah aja aku kasih ke temen",5
"ini cocok bgt buat yg kulitnya jerawatan, calming bgt di kulit, entah udh habis berapa botol, biasa ku pake pagi krn malem pake produk lain, tapi cocok2 aja dipake sm produk lain, di setiap botol toner ini ada daun cica nya, jd bagus gitu pas diliat hehehe",5
mauuu berterima kasih banyak2 sama Npure yg udah ciptain produk inii!!!!😍 Pake toner ini muka jadi berasa lebih lembab dan berasa ngangkat semua kotoran/minyak yg ada di kulit. texturenya ringan dan kalau di aku semenjak pake toner ini jerawat berasa kempes dan bisa ngurangin komedo di hidung.,5
Awal pake ini karna dikasih temen buat cobain. Ternyataa cocok banget! Jadi jarang jerawatan dan bekas jerawat yang kemerahan jadi cenderung lebih calm. Cuman sayangnya aku ngerasa efek hidrasinya kurang jadi aku tambahin pake moisturizer buat skincare routine ku,5
"Ini beneran best toner buat jerawat. Awalnya beliin buat pacar yg kulitnya sensitif dan berjerawat, tapi iseng beli dan nyobain. Dia ada efek calming dan nyaman di kulit, aromanya juga masih nyaman krn kearah seger gitu. Ini toner enak bgt buat dikompres di kapas dan dijadiin masker di area berjerawat.",5
"Toner Npure ini ok banget buat calming, dl awal cvd bruntusan meradanv grgr di facial pake ini cepet banget reda merahnya. Pokoknya abis cumuk pake ini enak jd kelembaban muka kaya balik lagi. Sengaruh itu di mukaku & aku sangat2 rekomen buat temen2 yg kulitnya lg “ngamuk” untuk pake ini",5
"cocok bgt buat hydrating toner aku. calming pas redness. nyoba travel size trus keterusan deh beli terus. kemasan n feelnya ok di kulitku, lembabnya ga lebay, kan masih mau make serum n moist. klo terlalu lembab di toner, ak suka malas step berikutnya",5
"Ini toner terlama yang aku pake, selain toner dari dokter kulit. Sekarang malahan cuma pake toner ini. Kayaknya aku gak cocok sama satu bahan yg ada diskincare, dan bahan itu gak ada di toner ini 🫶🏻 dia calming tapi gak terlalu bikin lembab diaku.",5
"gaperlu basa basi lagi mau langsung to the point, kalo disuruh rate aku bakalan blak blak an kasih produk ini 100/10! bener bener holygrail akuu, kalo kulit lagi rewel/breakout/gacocok sama produk baru, langsung buru buru pake ini!! love u npuree",5
"menurut aku setelah pemakaian 2 botol sangat membantu mengatasi kemerahan dimuka, saya selalu menggunakannya setiap malam dan kadang dengan metode CSM kemerahan saya mulai berkurang tapi untuk mencerahkan wajah menurut sayaa kurang",5
Toner yang cocok untuk digunakan daily. Kulitku cocok banget sama kandungan centellanya. Toner ini bisa banget ngeredain atau calming jerawat aku yang lagi meradang atau kemerahan. Selain itu toner ini lembabnya dapet banget. Kayanya bakalan repurchase lagi sih.,5
"produk ini tuh membantu aku banget pas muka aku break out parahhh, awalnya dari nyoba nyoba doang ternyata cocok dan make sampee sekarang, toner npure ini cocok buat muka kemerahan dan jerawat aktif gituu aku sangat merekomendasikan inii",5
"Npure Natural Daily Toner aku cobain yang 30 ml ini enak banget tonernya, teksturnya ringan, ada efek mencerahkannya, pake ini muka kerasa lebih bersih! dan aman banget kalau pas lagi ada acne karena ada formula acne care-nya, kayaknya aku bakal pakai terus!",5
"Bagus banget npure toner ini buat acne prone skin dan berminyak, cocok di aku dan gak bikin greese hehe i love it, next bakal repurches !! keren banget, ga bikin jerawatan jugakkk sayang banyak banyak buat npure, aku juga suka beli npure clear padnyaaa",5
"suka banggeett, aku pake ini langsung ilang jerawat dan beruntusan, pokoknya bagus banget buat aku yg jerawatan, sayangnya harganya cukup mahal ya buat kantong pelajar kayak aku, tapi overall oke banget sih karna emang sebagus itu, cocok banget di aku, suka!",5
"like holy water! selalu ga takut rugi buat make tonernya npure banyak-banyak, karena secinta itu sama npure. karena kemasannya besar, jadi bisa buat pakai lebih dari 1 bulan. so worth it! muka aku jadi lebih lembab, ga kusam dan yang paling penting adalah ga gampang jerawat!🥰",5
"Selama pemakaian, muka jadi lembab dan tidak kering jadi lebih pluffy dan gak kering, saya juga mengajak mamah saya untuk menggunakan produk ini dan mamah saya juga cocok jadi kami bisa sharing berdua. selama pemakaian jerawat saya juga sembuh dari radang kulit",5
"Calming, adem, teksturnya cair kayak air dan beneran ada daun di dalem botolnya. packaging yg cantik, ada tutup tambahan biar gak tumpah2. enak bgt. apalagi kalo lg ada jerawat hormon tinggal pake teknik CSM, dikompres aja 2hari langsung kempes, bahkan kalo baru muncul, semalem aja langsung kempes jerawatnya",5
"pertama kali aku pakai toner (krn biasanya lgsg serum), tp belakangan ini kulitku lagi sering kemerahan agak sensitive jadinya cari toner yang bisa bantu calming, terus banyak yg recommend npure centella ini dan alhamdulillah di aku cukup works, udah setengah botol dan emg cukup bantu calming kemerahan dimuka dan biasanya kalau lg ada jerawat suka aku kompres pake toner+kapas gitu jadi cepet kering jerawatnya 👍🏻👍🏻",5
"Pertama kali pake produk ini dapet rekomendasi dari temen yang punya masalah yang sama, pas udah coba rnak banget, ngak berat ke kulit dan ampuh banget ngatasi jerawat aku. Buat kamu yang belum coba, wajib cobain pokoknya. untuk kemasan nya lucu",5
"pake toner npure bikin kulit lembab dan tidak kering, packaging yang sangat menarik dan membuat semua orang ingin membeli nya, dengan harga yang sangat terjangkau dan memiliki manfaat yang sangat besar, sangat worth to buy, bikin repeat order",5
"Ini produk bagus banget, aku udah pake beberapa bulan terakhir emang mengurangi jerawat dan bruntusan aku. kulit juga jadi lebih cerahan dan lebih halus. Pokoknya bener-bener recommended. suka banget sama teksturnya yang cair, dan mudah di apply",5
SUMPAH SUMPAH SUMPAH demi apapun ini toner bagus banget buat redain kemerahan sama bruntusan. Semenjak pakai toner cica ini bikin kulitku jadi jarang bruntusan. Kalo jerawat mah ya ada aja tapi ga separah itu sebelum aku pake toner iniii. Luvv banget dah pokoknya,5
"Trust me fellas, this toner IS worth the hype. Well i was kinda late, but my skin is much better after using this magic toner. I was using it for 2 to 3 months and I do feel my skin is much calmer. The soothing effect do works on my acne-prone face. I think cica match my skin very well.",5
"Npure toner terasa dingin saat digunakan, namun tidak membuat kulit menjadi iritasi. kulit saya sangat terbantu dengan ada nya Npure toner, pas terkena matahari tidak terasa terbakar. toner nya juga mampu membersihkan sisa-sisa make-up saya yang tidak terhapus bersih ketika cuci muka",5
"Udah pakai toner npure ini selama 2 bulan and it works like magic. Redness di wajah lebih calm, teksturnya yang watery dan mudah menyerap enak banget untuk skin prep dan setelah mandi. Muka juga jadi lebih seger tiap abis pakai toner ini. Good Job Npure",5
"Pengalaman aku pertama kali menggunakan face tonernya tuh aku merasa langsung cocok di wajah aku, jadi wajah aku langsung terasa lembut gituu, lembab juga, ga bikin jerawat tambah parah (ga bikin iritasi di aku) trus juga bikin wajah aku menjadi lebih cerah.",5
"dengan kondisi kulit aku yg oily dan agak bandel, pertama kali nyoba centella aciatica di toner npure ini, seenak itu gak lengket afternya, trus jg gampang nyerap, so far di muka aku cocok dan bagus jg, gak bikin berminyak juga di kulit aku so rekomend sih selalu repurchase",5
dapet review kalo ini bagus banget buat jerawat terutama buat beruntusan dan pas pertama nyoba si beneran se ampuh itu. harganya juga middle ga mahal ga murah kok dan beneran recommend buat ngilangin jerawat yg beneran susah banget ilangnya,5
My Best hydrating toner so far!!! Udah repurchase yang ketiga kali. Awal coba karna di rekomendasiin sama temen yang punya skin concern yang sama kaya aku dan jadinya malah keracunan jadi suka banget juga. Best for all skin type! Buat yang mukanya sensitive juga aman sentosa pake ini!,5
"Awalnya aku gapercaya sama produk ini karena waktu itu emang lagi viral bgt dan aku kurang percaya sm yg lagi viral. tapi setahun kemudian aku memutuskan untuk beli produk ini, kalian tau??!! aku langsung jatuh cinta😭 toner ini bikin lembab muka ku yg kering, cocok bgt buat base sebelum makeup biar wajah ga terlalu kering, aku udh checkout satu lagi buat restock hihi💓",5
Toner satu ini bener² light bgt. Kadang ada toner yang baunya nyelekit bgt mungkin karena kandungan alkoholnya. Tapi untuk NPURE ini bener² se light itu bahkan hampir mirip kyk air biasa. After pemakaian juga ngga yang lepek lengket. Jadi ini mungkin bakalan aman bgt untuk semua jenis kulit. Karena hanya memberikan efek calming.,5
"pantesann reviewnya bagus-bagus, ternyata emang beneran kalo yang ini asli bagusnya pake banget 😭 calming, ngelembapin, nyegerin, baunya enak, terus ringan buat kulit oily. sumpah aku bakal repurchase sih kalo ga nemu toner yg lebih enak daripada ini (soalnya masih mau muter-muter dulu nyobain yang lain hehehe). terus aku beli dapet harga 90k buat ukuran 150ml tuh lumayan banget",5
"pake toner ini dr tahun 2021 pas pandemi. karna saat itu lg jerawatan semuka karna salah ngecombain kandungan serum (pemula). truss selama pke ini bener2 mendingan bgt, walaupun prosesnya ga instan tp lama kelamaan memudar dan akhirnya sembuh dr jerawat🥹 sampe skrg pun masih pake! Sebagus dan secinta itu sama produk npuree❤️❤️ thankyou bgttt udh bikin aku sembuh dr jerawat akuu!! aku udh pke berbotol2",5
"Toner lokal yang ada daun Centella asiatica beneran. Aku suka ini karena versi lokalnya skin1004. Plus dia ada katup tambahan buat nutup jdi aman ga akan tumpah isinya. Teksturenya light, enak dipake. Nggak bkin break out atau apa. Repurchase? Maybe!",5
"Masih toner favorite aku sih ini Npure best banget toner yang akubisalangsung ngerasain sengaruh itu kekulit aku, dari kulit aku yg jerawatan beruntusan gajelas, jadi lebih calming seger pake toner ini, kalo dulu aku simpen before afternya keknya keliatan banget sih. Pkonya love tonernya npure best",5
"pertama kali beli ini di jxb bulan agustus, liat review orang bilang kalau toner ini bagus, ternyata beneran bagus. Buat kulit ku yang berminyak dan sering banget iritasi merah-merah cocok banget. Teksturnya cair dan cukup melembabkan.",5
"Ini adalah my saviour and number one toner. Wanginya ga ganggu, cepet banget calming my acnes tapi gak bikin wajah kering ataupun ketarik. Harganya juga masih masuk akal karena satu botol yang gede bisa buat pemakaian 2-3bulan jadi sangat amat hemat. Btw aku udah pake 4botol dan bakal terus repurchase",5
"Tinggal sedikit, pas bgt mau repurcase nanti di JxB. Toner paling friendly banget ke wajah ku yang tipenya acne prone. Cepet meresapnya, ga lengket sama sekali dan calmingggg banget ga perez alias terima kasih Npure❤ Salah satu bagian dari skinprep sebelum tempur make up, kalau lewatin Toner ini pasti berasa kurang",5
"sebenernya make ini udah dari 2020 kalo ga salah, trus coba make lagi pas abis dateng ke JxB agustus lalu. Dan make ini rutin selama hampir 3 bulan ternyata baguss, dan cocok di mukaku yg jiriwitin. Pokok nya best dehh, kalian harus coba!!! 👍🏻",5
"Awalnya aku pinjam toner npure ini punya kakakku, setelah beberapa hari coba, akhirnya aku beli dan sekarang sudah 3 bulanan pakai. Wanginya fresh dan tidak mengganggu. Warnanya bening agak kehijauan dan ada daun centellanya. Enak banget pakai toner ini sebelum pakai skincare. Muka berasa fresh dan aku jadi jarang ada masalah jerawat. Untuk metode csm buat jerawat aku yg mau tumbuh memang kurang nampol kalau pakai toner ini aja. Di aku, harus ditambah pakai obat jerawat juga.",5
"ini toner paling debest bgt, aku pakai toner ini kurang lebih udah 3 bulanan, dan bener2 cocok bgt di muka aku, buat ngatasin masalah jerawat, kulit lg kemerahan, dan bikin lembab, menghydrating kulit aku ,, bener2 rekomended bgt dan bakalan aku repuchase terus",5
"Untuk aku yang kulitnya berminyak dan berjerawat toner ini sejauh ini cocok bnget untuk ku. gak bikin breakout gak bikin kulit berminyak banget setelah pakai skincare dan bener bener melembabkan abis cuci muka. Untuk yang alegri dengan fragrance di skincare kayaknya cock juga karena gak ada aromanya sama sekali. Kadang kalau kulit lagi jerawat atau gatal, aku kompres juga pakai toner ini dan jadi lebih baik kondisinya",5
cepet bgt buat ngeringin jerawat dan aku pake metode csm bener2 seger lembab gt after pemakaian. dan jerawat kempes ga pake lama. aku lg coba yg uk kecil dan pgn bgt nyoba yg besarnya nanti setelah abis yg kecil. agak sedikit menyesal kenapa beli yg kecil😅,5
