Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,topic_label,sentimen
61,0,0.7635,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",dipakenya masa bagaimana ubah gatau lain manfaat next full soal maybe kecil time size sih gaada dulu coba mau nya an csm seger buat baru and enak nyoba bruntusan beli kulit pakai pas travel,Penggunaan Produk,0
62,0,0.4838,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",up jxb make bagi satu salah sedikit sekali sama lengket tipe resap kasih terima paling mau tinggal asa prone acne ku kalau wajah cepet npure pas banget friendly toner kurang,Penggunaan Produk,1
63,0,0.8376,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",really nyari belum one have this ganti besok product menit ngaruh tumbuh cerah aman beberapa must sih kapas selalu masalah atas kempes lama baru jadi kulit pakai pas banget toner kompres jerawat,Penggunaan Produk,0
64,0,0.5219,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",isi murah cuci dah rekomen berapa sama sisa habis lengket kotor wangi banyak seger tekstur harga kali enak beli deh bikin sangat toner,Penggunaan Produk,0
65,2,0.6394,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",panjang cinta satu waktu sama cerah sekarang suka segar lebih face wajah breakout npure banget toner,Pembelian Produk,1
66,1,0.9682,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",hijau warna mirip sayang air dipake fresh sedikit sama ngaruh lembab cair wangi ngasih apa nya cicanya tekstur daun cica enak tonernya beli efek pas banget jerawat,Kualitas Produk,1
67,0,0.958,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",sesuai fungsi baguss isi cuci rasa kerja repurchase bagus emang banyak lembap cari hidrasi harga pokok buat tonernya bruntusan muka kulit bantu kurang jerawat,Penggunaan Produk,0
68,1,0.566,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",kalem poko jauh dalem mahal to satu salah walaupun radang try sih gede cair dulu asa an tekstur worth ml rb harga daun cica kalau lumayan ringan tonernya beli jadi efek npure pas toner jerawat ukur,Kualitas Produk,0
69,0,0.4657,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",ragu baguss full soal nenangin kecil nyobain size repurchase sekarang wajib dulu melembabkan terus prone buat kalau wajah merah beli bikin kulit banget kemas toner,Penggunaan Produk,0
70,0,0.5375,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",mateng nih minggu bareng sebenernya cuci routine sayang kaya skincare besok muncul awal biasa lokal affordable radang happy kapas rutin masalah cuma coba pernah cari an cicanya cica masker cocok muka kulit npure pakai kompres jerawat produk,Penggunaan Produk,0
71,1,0.9502,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",fungsi nemuin hydrate over jauh akuu sampe product ngaruh sekarang calming buat merah bruntusan kulit toner jerawat,Kualitas Produk,0
72,1,0.9452,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",signifikan turut one the product sekali mungkin sama hydrating radang cobain bau mudah cair gaada but lembap tenang tekstur and its serap efek kulit cukup jerawat,Kualitas Produk,0
73,1,0.4727,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",calmingnya poko minggu rasa doang langsung soal awal kecil recommended dehh redness terus csman coba acne adem buat nyoba benar merah beli muka bikin efek beruntus banget kurang,Kualitas Produk,0
74,2,0.547,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",gel ada salicylic gacocok harap minggu panas gemes cekit soothing hype rasa centellanya bahan doang si tahu sedang dipake lah nyobain sama acid dari perih apa asa acne tuh asli daun kalau nyoba centella jadi akhir kering bikin efek beneran kulit npure pas banget cukup produk,Pembelian Produk,1
75,2,0.5587,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",pipi pakenya but kena meski atas mata area cuma bagus coba sensitif ku kalau kali pertama baru jadi kering kulit pakai toner,Pembelian Produk,0
76,1,0.6846,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",off calmingnya jugaa rasa rekomen repurchase emang sensitif suka hidrasi sering daun buat kalau kali on centella merah efek kulit banget toner jerawat,Kualitas Produk,1
77,0,0.8635,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",gapernah restock punya selalu toner,Penggunaan Produk,0
78,1,0.4647,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",dah redain jarang semenjak parah sumpah sama bagus apa cica pokok buat kalau merah bruntusan jadi bikin kulit pakai banget toner jerawat,Kualitas Produk,0
79,2,0.5301,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",samar racun well sayang orang tiktok padahal ampuh lah sekali mungkin sama ngaruh affordable oke repurchase bau nampol mau cari suka nyata lihat bruntusan beli akhir banget kurang jerawat,Pembelian Produk,0
80,0,0.9446,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",centela fungsi bekas sensitive radang nya guna lebih kandung merah jadi kulit jerawat reda,Penggunaan Produk,0
81,0,0.6493,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",ingredient cek fragrancenya sebab ingredientsnya sadar turut murah sayang semua padahal butuh bukan kl bagi bilang sedang awal review malah mungkin kemarin lembab bulan besar makin dulu cuma percaya bagus sensitif buat kalau wajah beli jadi kulit npure pakai banget cukup toner jerawat produk,Penggunaan Produk,0
82,0,0.5312,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",justru tahan isi kyk sampe lembut affordable bulan recommended sih bau banyak sensitif tenang khas harga adem buat kandung jadi bikin kulit banget produk,Penggunaan Produk,1
83,2,0.3504,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",combination tuang bangettt fragrance dingin ngerasa dijadiin kecil hydrating tipis kapas repurchase wangi pudar terus nya seger adem masker kadang kalau kali enak tonernya merah bruntusan jadi bikin kulit banget bantu cukup,Pembelian Produk,0
84,0,0.7025,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",penasaran ampuh tahu dipake se aman ngilangin kalian paling atas atau emang coba cica buat tonernya npure toner jerawat,Penggunaan Produk,0
85,0,0.6479,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",panjang jauh so angkat cerah kotor sih moga wangi calming but jg ngasih wajah efek kurang jerawat klaim,Penggunaan Produk,1
86,1,0.4085,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",dua kecil bakal sama hydrating besar sih kapas repurchase cair suka csm tekstur it worth harga buat cocok lumayan merah bruntusan beli pakai banget toner jerawat reda ukur,Kualitas Produk,1
87,0,0.5801,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",solusi glowing centela muncul sedikit cegah cerah wajib bagus mau asiatica wajah kandung bruntusan bikin sangat pakai banget kurang jerawat,Penggunaan Produk,0
88,0,0.6049,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",off holy susah kaya dipake nenangin product affordable sukaa nya sensitif cari prone acne harga cocok on enak muka kering bikin kulit banget jerawat,Penggunaan Produk,0
89,0,0.8518,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",engga ragu ngatasin kek racun dah rasa butuh susah sm sedang bulan masalah jg banyak apa lebih buat jadi muka pakai banget jerawat reda produk,Penggunaan Produk,0
90,1,0.802,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",cleansing air lah hydrating sih selalu wangi masalah calming terlalu melembabkan nya suka lebih seger tekstur buat ku kalau nyata face enak centella bikin kulit pakai cukup memang toner,Kualitas Produk,1
91,0,0.7726,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",ngebuat make semua si kl dipake walaupun jujur lembab aman bagus nya lumayan enak pas jerawat,Penggunaan Produk,0
92,0,0.6114,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",untung turut minggu belum oil isi sayang padahal selamat dong packaging langsung muncul tumbuh super beberapa mendem wangi banyak baik buat cocok baru face enak centella jadi sangat hari pakai banget jerawat produk,Penggunaan Produk,1
93,0,0.5011,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",fragrancenya nyerepnya apaapa ninggalin saking kelembaban mungkin mana lembab tipe bagus sensitif asa buat tonernya jadi cepet kering efek kulit banget toner,Penggunaan Produk,0
94,2,0.6595,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",bagaimana sizenya umat juta gatau pms masuk abis full cinta berapa sedang fresh repurchase hasil botol paling cuma csman coba mau lebih tuh kalau cocok jadi deh akhir bikin pakai banget travel toner jerawat,Pembelian Produk,0
95,0,0.7182,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",kulkas gtu hydrate lalu apply skincare waktu tempel sih kapas nyaman wangi calming bagus mau nya adem kalau cocok wajah jadi pakai,Penggunaan Produk,1
96,1,0.4865,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",signifikan ubah bareng mahal kayak facial sayang penasaran air tahu muncul awal kecil cuman malah sama bulan resap calming jg asiatica tekstur cocok skin tonernya centella bruntusan beli cepet kulit pakai kurang,Kualitas Produk,0
97,2,0.7211,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok",gel sensasi cekit rasa kan moisturizer betul skincare dipake tambah awal malah lengket apa pernah kalau lumayan kali pertama ringan enak deh pakai pas jerawat,Pembelian Produk,0
98,0,0.9499,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",kontrol jg terus kempes csman atau gampang lebih seger cica buat minyak cocok wajah bruntusan jadi cepet hari kulit npure pakai banget toner,Penggunaan Produk,1
99,0,0.9599,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",anak promo bahan butuh jangkau terus bagus pernah nya suka harga buat kalau cocok ringan tarik kulit npure banget cukup produk,Penggunaan Produk,0
100,0,0.4598,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",niacinamide sorry tinggi rasain segi ingredientsnya pasti sedih turut sesuai belum gatal fragrance plus bagusbagus murah dua rasa lembabnya sayang entah orang negatif padahal pilih butuh packaging lucu to review malah mungkin dapet sama besar makin paling redness melembabkan cuma milik terus bagus bukti banyak apa bingung pernah sensitif asiatica lebih worth harga cica kalau cocok skin normal wajah centella kandung merah jadi muka efek sangat kulit pakai banget jerawat produk,Penggunaan Produk,1
101,1,0.5144,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau",masa banding panjang mahal sengaruh jenis sedikit efektif hasil bagus coba nya lebih harga buat benar muka sangat kulit toner,Kualitas Produk,1
102,0,0.4087,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",kanan kiri tanda fragrancenya kirain pdhl ni sensasi dagu jidat gatal merahmerah kemudian hormon sayang malam tpi bagi dipake besok soal muncul awal waktu kecil malah sekali mungkin biasa metode gede pipi terus mau aplikasi lebih asa csm ml buat ku kalau cocok wajah enak benar kandung bruntusan muka kering pakai pas memang toner jerawat ukur,Penggunaan Produk,0
103,0,0.6366,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",centellanya soal sekali cobain cair kempes bagus emang sensitif asiatica tekstur loh daun centella kandung merah deh sangat breakout kulit toner jerawat,Penggunaan Produk,0
104,0,0.9459,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka",tuang ngeringin dijadiin bagi besok tempel super kapas melembabkan tinggal masker face ringan cepet toner jerawat,Penggunaan Produk,0
