Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,topic_label,sentimen
10,1,0.5377,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['tekstur', 'light', 'kental', 'kulit', 'kering', 'saran', 'pakai', 'layer', 'asa', 'melembabkan', 'terlalu', 'suka', 'toner', 'beratberat', 'layer', 'cukup', 'efek', 'bikin', 'calming', 'redness', 'wajah', 'muka', 'jadi', 'lebih', 'halus']",Kualitas Produk,negative
11,0,0.6696,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['toner', 'paling', 'nampol', 'dahi', 'bruntusan', 'dulu', 'sering', 'banget', 'bruntusan', 'sejak', 'pakai', 'gaada', 'nama', 'bruntusan', 'extract', 'centella', 'asiaticanya', 'beneran', 'botol', 'kalian', 'wajib', 'coba', 'kalau', 'banyak', 'masalah', 'kulit']",Penggunaan Produk,negative
12,0,0.6704,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['toner', 'npure', 'inu', 'bangga', 'banget', 'buat', 'kulit', 'rewel', 'sering', 'berjewarat', 'buat', 'wangi', 'ganggu', 'bikin', 'kulit', 'perih', 'hasil', 'baik', 'pakai', 'rutin', 'buat', 'masker', 'terima', 'kasih', 'pure']",Penggunaan Produk,positive
13,0,0.76,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['produk', 'suka', 'dulu', 'suka', 'bangetttt', 'cucok', 'muka', 'produk', 'andal', 'moga', 'selalu', 'makin', 'banyak', 'diskon', 'depan', 'npureproduk', 'suka', 'dulu', 'suka', 'bangetttt', 'cucok', 'muka']",Penggunaan Produk,positive
14,0,0.5292,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['produk', 'suka', 'banget', 'pakai', 'botol', 'suka', 'banget', 'cocok', 'buat', 'kulit', 'acne', 'prone', 'ngilangin', 'bruntusan', 'pakai', 'buat', 'kompress', 'kulit', 'ngecalm', 'down', 'selalu', 'rekomendasiin', 'temen', 'temen']",Penggunaan Produk,positive
15,2,0.9743,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok","['toner', 'nya', 'npure', 'gapernahh', 'sekalipunn', 'gagal', 'plisss', 'bagus', 'banget', 'buat', 'jeniss', 'kulit', 'sensitif', 'berjerawatt', 'akuuu', 'cobainn', 'dehh', 'sekarang', 'pacakingnya', 'baruu', 'nyaman', 'bgtt', 'rekomend', 'in', 'produk', 'buat', 'acne', 'sensitif', 'skinn', 'buruann', 'pakee', 'yaa']",Pembelian Produk,positive
16,0,0.9715,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['toner', 'suka', 'banget', 'tekstur', 'cair', 'mudah', 'resap', 'kulit', 'gampang', 'diaplikasiin', 'cukup', 'ngelemba', 'in', 'kulit', 'gaada', 'bau', 'menyegat', 'ngeredain', 'bruntusan', 'best', 'toner', 'buat', 'ngelembab', 'in', 'exfoilasi', 'selalu', 'repurchase', 'enak']",Penggunaan Produk,negative
17,1,0.8102,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['coba', 'pakai', 'npure', 'cica', 'toner', 'pas', 'muka', 'banyak', 'jerawat', 'gede', 'merah', 'pakai', 'metode', 'csm', 'pakai', 'kapas', 'tipis', 'banget', 'it', 'works', 'calming', 'banget', 'jerawat', 'jadi', 'nyut', 'tonernya', 'tipe', 'watery', 'banget', 'jadi', 'kulit', 'asa', 'kasih', 'minum']",Kualitas Produk,negative
18,0,0.9675,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['pakai', 'lebih', 'tahun', 'produk', 'pertama', 'npure', 'cobain', 'bagus', 'buat', 'kulit', 'jerawat', 'ngecalming', 'banget', 'sih', 'ngebantu', 'ngempesin', 'jerawat', 'jerawat', 'mendem', 'mendem', 'bagus', 'deh', 'must', 'try', 'banget']",Penggunaan Produk,negative
19,0,0.9732,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['akhir', 'berani', 'in', 'buat', 'coba', 'toner', 'versi', 'travel', 'size', 'nya', 'hasil', 'cukup', 'bagus', 'kulit', 'efektif', 'buat', 'reda', 'jerawat', 'beruntus', 'tekstur', 'nya', 'enak', 'bgtt', 'repurchase', 'yess', 'banget', 'beli', 'besar', 'luv', 'banget']",Penggunaan Produk,positive
20,2,0.751,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok","['toner', 'diomongin', 'manamana', 'ingridientsnya', 'bagus', 'cocok', 'buat', 'acne', 'skin', 'calming', 'jerawat', 'ngurangin', 'bruntusan', 'pakai', 'bikin', 'seger', 'wajah', 'repurchase', 'beberapa', 'kali', 'sukaa', 'rekomin', 'temen', 'temenku', 'cocokk']",Pembelian Produk,negative
21,0,0.7241,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['toner', 'paling', 'aman', 'fokus', 'buat', 'acne', 'care', 'cepet', 'banget', 'buat', 'ngebantu', 'brighten', 'and', 'refine', 'my', 'skin', 'neko', 'neko', 'benar', 'benar', 'oke', 'buat', 'ngebersihin', 'muka', 'dari', 'kotor', 'bonus', 'nya', 'wajah', 'jadi', 'lebih', 'cerah', 'and', 'calming', 'super', 'happy', 'super', 'recommended', 'for', 'acne', 'prones', 'skin']",Penggunaan Produk,positive
22,0,0.5871,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['masalah', 'jerawat', 'radang', 'muka', 'gradakan', 'jerawat', 'suka', 'onoff', 'ciamik', 'banget', 'around', 'bulan', 'rutin', 'pakai', 'jerawat', 'ku', 'reda', 'texturenya', 'ringan', 'lengket', 'tetep', 'lembab', 'super', 'worth', 'it']",Penggunaan Produk,negative
23,0,0.9708,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['cocok', 'banget', 'buat', 'acne', 'prone', 'skin', 'habis', 'pakai', 'reda', 'merah', 'muka', 'bikin', 'jerawat', 'calming', 'taun', 'lebih', 'pakai', 'toner', 'cocok', 'banget', 'selalu', 'repurchase', 'harga', 'affordable', 'sering', 'diskon', 'gampang', 'banget', 'ditemuin']",Penggunaan Produk,positive
24,0,0.9676,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['jujur', 'banget', 'toner', 'npure', 'bagus', 'banget', 'kulit', 'sensitive', 'pakai', 'tahun', 'lebih', 'efek', 'muka', 'kurang', 'bruntusan', 'muka', 'cegah', 'jerawat', 'tumbuh', 'bikin', 'muka', 'cerah', 'hidrasi', 'banget', 'muka', 'mudah', 'serap', 'muka']",Penggunaan Produk,positive
25,1,0.7698,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['toner', 'wajah', 'kandung', 'real', 'centella', 'leaves', 'green', 'tea', 'toner', 'bantu', 'bersih', 'wajah', 'sisa', 'kotor', 'bantu', 'cerah', 'kulit', 'after', 'pakai', 'asa', 'segar', 'lembut', 'lembap', 'beri', 'efek', 'calming', 'kulit', 'recommended']",Kualitas Produk,negative
26,1,0.9783,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['npure', 'cica', 'face', 'toner', 'rupa', 'hydrating', 'toner', 'ph', 'balance', 'kandung', 'real', 'centella', 'leaves', 'sangat', 'acne', 'power', 'fighter', 'tranexamic', 'acid', 'bantu', 'bersih', 'wajah', 'sisa', 'kotor', 'cerah', 'kulit', 'wajah', 'rawat', 'kulit', 'jerawat', 'buat', 'kulit', 'asa', 'segar', 'lembut', 'lembap']",Kualitas Produk,negative
27,2,0.9774,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok","['alam', 'pertama', 'beli', 'cica', 'toner', 'pas', 'pandemi', 'produktif', 'mana', 'npure', 'se', 'good', 'sekarang', 'first', 'time', 'pakai', 'benar', 'benar', 'calming', 'mulussin', 'muka', 'gradakkan', 'strees', 'ngapa', 'ngapain', 'rumah', 'my', 'friends', 'acne', 'suka', 'pol', 'ngaruh', 'muka']",Pembelian Produk,positive
28,0,0.9759,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['toner', 'lokal', 'pertama', 'ku', 'efek', 'nya', 'kulit', 'ku', 'sukaa', 'banget', 'sama', 'efek', 'calming', 'nya', 'utama', 'kulut', 'acne', 'prone', 'ku', 'shooting', 'and', 'calming', 'nya', 'dapet', 'banget', 'biasa', 'pakai', 'toner', 'kapas', 'didiemin', 'muka', 'lama', 'must', 'try', 'suka']",Penggunaan Produk,positive
29,0,0.9696,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['nyobain', 'toner', 'pertama', 'kali', 'pas', 'pandemi', 'kemarin', 'kata', 'viral', 'tiktom', 'bagus', 'banget', 'ph', 'kulit', 'melembabkan', 'lumayan', 'sih', 'kadang', 'perih', 'gabikin', 'jerawat', 'untungnyaa', 'tonernya', 'bau', 'alkohol', 'mungkin']",Penggunaan Produk,negative
30,1,0.9671,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['toner', 'npure', 'kandung', 'cicapad', 'sangat', 'bantu', 'berantas', 'herawat', 'wajah', 'jerawat', 'aktif', 'wajah', 'esok', 'hari', 'kempes', 'keren', 'sekali', 'terima kasih', 'npure', 'keluar', 'produk', 'toner', 'thebest']",Kualitas Produk,negative
31,0,0.7669,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['sangat', 'hidrasi', 'kulit', 'wajah', 'cocok', 'banget', 'buat', 'jerawat', 'atau', 'normal', 'sangat', 'recomend', 'buat', 'kompres', 'jerawat', 'radang', 'daya', 'resap', 'nya', 'cepet', 'banget', 'bakal', 'repurchase', 'soalanya', 'ringan', 'banget', 'wajah']",Penggunaan Produk,negative
32,1,0.5072,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['pertama', 'kali', 'cobain', 'raguragu', 'sedikit', 'price', 'tester', 'teman', 'cocok', 'akhir', 'malah', 'terus', 'buat', 'iritasi', 'wajah', 'serasa', 'fresh', 'walaupun', 'cuman', 'pakai', 'toner', 'harum', 'cepat', 'serap', 'wajah', 'cepat', 'bersih']",Kualitas Produk,positive
33,0,0.9724,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['toner', 'beneran', 'ngebantu', 'jerawat', 'buat', 'sembuh', 'pakai', 'metode', 'csm', 'kapas', 'dibasahin', 'terus', 'tempel', 'area', 'jerawat', 'lama', 'menit', 'aroma', 'anehaneh', 'sukaa', 'size', 'kecil', 'literally', 'kecilkecil', 'cabai', 'rawit', 'hehe', 'repurchase', 'sih']",Penggunaan Produk,negative
34,0,0.9778,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['kenal', 'produk', 'waktu', 'lihat', 'review', 'youtube', 'female', 'daily', 'awal', 'tarik', 'sama', 'facewashnya', 'brushnya', 'tai', 'waktu', 'lihat', 'ecommerce', 'toner', 'coba', 'buat', 'beli', 'produk', 'salah', 'satu', 'bantu', 'banget', 'dulu', 'awal', 'jerawat', 'lumayan', 'sering', 'sampek', 'juarang', 'banget']",Penggunaan Produk,positive
35,2,0.9728,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok","['kulit', 'wajah', 'dulu', 'keriiinggg', 'bangett', 'maybe', 'kenal', 'product', 'kenal', 'product', 'beauty', 'vlogger', 'review', 'product', 'baca', 'lihat', 'formula', 'buat', 'lembab', 'in', 'muka', 'beraniin', 'buat', 'beli', 'iiih', 'bgus', 'banget', 'pakai', 'bulan']",Pembelian Produk,positive
36,2,0.5932,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok","['tonernya', 'npure', 'bagus', 'sih', 'buat', 'kulit', 'jerawat', 'buat', 'kompres', 'jerawat', 'biar', 'cepet', 'kempes', 'terus', 'tambah', 'serum', 'acne', 'combinasi', 'mantab', 'banget', 'harga', 'terlalu', 'pricey', 'worth', 'to', 'buy', 'lah', 'buat', 'kulit', 'jerawat', 'break', 'out']",Pembelian Produk,negative
37,1,0.5237,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['tuh', 'toner', 'bangus', 'banget', 'buat', 'nenangin', 'kulit', 'ku', 'muncul', 'jerawat', 'memnimbulkan', 'iritasi', 'kulit', 'soal', 'dapat', 'kandung', 'real', 'centella', 'leaves', 'dapat', 'centella', 'kandung', 'tranecamic', 'acid', 'bantu', 'cerah', 'kulit', 'wajah']",Kualitas Produk,negative
38,2,0.963,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok","['dapat', 'real', 'centella', 'leaves', 'kemas', 'tekstur', 'cair', 'bikin', 'kulit', 'segar', 'lembab', 'pemakaiannettoml', 'oke', 'poll', 'buat', 'kompres', 'area', 'radang', 'merah', 'jerawat', 'guna', 'kapas', 'wangi', 'calming']",Pembelian Produk,positive
39,0,0.9716,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['kulit', 'acne', 'banyak', 'rekomendasiin', 'produk', 'npure', 'satu', 'inipertama', 'coba', 'pakai', 'travel', 'size', 'dulu', 'eh', 'kok', 'jerawat', 'mendem', 'mulai', 'hilangbekas', 'jerawat', 'ikut', 'terhempaskalo', 'muka', 'breakout', 'tinggal', 'csm', 'pakai', 'toner']",Penggunaan Produk,negative
40,0,0.9693,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['cocok', 'bangett', 'sumpah', 'buat', 'wajah', 'pas', 'breakout', 'beruntus', 'merah', 'besok', 'pagi', 'langsung', 'reda', 'merah', 'sukak', 'banget', 'bakal', 'repurchase', 'punya', 'kecil', 'dipake', 'kalau', 'pas', 'sedang', 'kerja', 'luar', 'i', 'love', 'it']",Penggunaan Produk,positive
41,0,0.9786,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['toner', 'benerbener', 'viral', 'kemarin', 'tik', 'tok', 'langsung', 'coba', 'emang', 'diraguin', 'kandung', 'centella', 'asia', 'memang', 'bagus', 'banget', 'buat', 'kulit', 'sensitif', 'gampang', 'jerawat', 'bahkan', 'cocok', 'kulit', 'normal', 'pokok', 'all', 'type', 'skin', 'lah', 'cocok', 'suka', 'daun', 'asli', 'jadi', 'kemas', 'lucu', 'wkwkwk']",Penggunaan Produk,positive
42,0,0.9717,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['awal', 'launching', 'nasar', 'sama', 'produk', 'nyata', 'cocok', 'kulit', 'jerawat', 'oily', 'bantu', 'calming', 'hydratingnya', 'bilang', 'oke', 'banget', 'too', 'much', 'oily', 'skin', 'pernah', 'coba', 'layer', 'sampe', 'sangat', 'tetep', 'enakeunn']",Penggunaan Produk,positive
43,1,0.7556,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['suka', 'texture', 'cepet', 'banget', 'buat', 'kempesin', 'jerawat', 'pas', 'beruntus', 'jerawat', 'nyaman', 'cepet', 'serap', 'cium', 'wangi', 'apa', 'jadi', 'aman', 'buat', 'sensitive', 'skin', 'packaging', 'nya', 'simple', 'banget', 'ringan', 'wangi', 'nya', 'calming', 'banget', 'sih', 'tekstur', 'toner', 'nya', 'sendiri', 'cair', 'pas', 'aplikasiin', 'muka', 'sedikit', 'lengket', 'huhu', 'bagus', 'banget', 'deh', 'serius', 'soal', 'pakai', 'malem', 'mau', 'tidur', 'pas', 'muka', 'jerawat', 'merah', 'ku', 'diemin', 'sampe', 'pagi', 'nyata', 'jerawat', 'kempes', 'dong', 'dannn', 'suka', 'banget', 'npure', 'sangat', 'bantu', 'merah']",Kualitas Produk,positive
44,0,0.9726,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['selalu', 'suka', 'sama', 'produk', 'npure', 'apa', 'toner', 'inidipakenya', 'malem', 'csm', 'an', 'besok', 'bruntusan', 'langsung', 'ilang', 'pokok', 'the', 'best', 'deh', 'kondisi', 'muka', 'tahun', 'lebih', 'pakai', 'toner', 'jadi', 'lebih', 'baik', 'sblmnya']",Penggunaan Produk,positive
45,1,0.9704,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['jadi', 'toner', 'kesukaanpas', 'banget', 'mau', 'haid', 'beruntus', 'wajah', 'pakai', 'perlahan', 'beruntus', 'kurang', 'jadi', 'kering', 'nglupas', 'tipis', 'bagi', 'beruntus', 'stlh', 'timpa', 'toner', 'hydrating', 'lanjut', 'rangkai', 'skincare', 'serum']",Kualitas Produk,negative
46,0,0.7015,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['toner', 'npure', 'cocok', 'banget', 'kulit', 'kering', 'sensitif', 'bahkan', 'acne', 'prone', 'tekstur', 'cair', 'cepet', 'serap', 'hasil', 'cukup', 'melembabkan', 'hidrasi', 'bikin', 'kulit', 'jadi', 'calming', 'kemas', 'ukur', 'gin', 'harga', 'cukup', 'jangkau', 'hasil', 'maksimal', 'pakai', 'rangkai']",Penggunaan Produk,positive
47,0,0.6736,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['produk', 'selamat', 'kulit', 'kalau', 'sedang', 'breakout', 'atau', 'sedang', 'iritasi', 'dijadiin', 'toner', 'biasa', 'buat', 'csm', 'an', 'makin', 'nge', 'boost', 'sih', 'kulit', 'normaldry', 'tpi', 'aman', 'pakai', 'tetap', 'lembab', 'gaada', 'drama', 'kulit', 'kering', 'tarik', 'aman', 'sangat', 'works']",Penggunaan Produk,positive
48,0,0.9742,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['suka', 'bangeeett', 'sama', 'toner', 'inikarena', 'akhir', 'akhir', 'wajah', 'rewel', 'jadi', 'toner', 'cocok', 'banget', 'sm', 'wajahkusangat', 'recomended', 'bantu', 'sembuh', 'jerawat', 'toner', 'cukup', 'baik', 'angkat', 'kotor', 'wajah', 'aman', 'pakai', 'pagi', 'malam']",Penggunaan Produk,negative
49,2,0.5967,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok","['tahu', 'habis', 'berapa', 'botop', 'botol', 'kaya', 'suka', 'banget', 'awal', 'cuma', 'pakai', 'kalau', 'breakout', 'beneran', 'bikin', 'calminh', 'kulit', 'awal', 'tarik', 'daun', 'centella', 'asli', 'terus', 'beli', 'ternyta', 'bagusss', 'banget', 'kalau', 'wajah', 'jerawat', 'breakout', 'jadi', 'calming']",Pembelian Produk,positive
50,2,0.9776,"banget, toner, buat, pakai, jerawat, sih, kalau, kulit, jadi, cocok","['toner', 'cinta', 'sejak', 'lama', 'suka', 'nyaman', 'pakai', 'toner', 'kl', 'mulai', 'muncul', 'bruntusan', 'jerawat', 'kompres', 'pakai', 'toner', 'hari', 'jg', 'kempes', 'terus', 'jg', 'buat', 'ngeringin', 'jerawat', 'ampuh', 'sekali', 'wangi', 'jg', 'enak', 'he', 'he', 'susah', 'deh', 'buat', 'pindah', 'hati', 'hahaha']",Pembelian Produk,negative
51,0,0.9767,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['iseng', 'nyoba', 'beli', 'travel', 'size', 'ternyta', 'malah', 'jatuh', 'cinta', 'disclaimer', 'kulit', 'ku', 'drysensitive', 'daya', 'serap', 'toner', 'bagus', 'banget', 'cepat', 'lengket', 'toner', 'bikin', 'gerah', 'ttp', 'ngasih', 'hidrasi', 'pas', 'kulit', 'ku', 'super', 'kering', 'repurchase', 'full', 'size', 'nya']",Penggunaan Produk,negative
52,0,0.9186,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['banget', 'kalian', 'jadiin', 'rumah', 'kalau', 'kulit', 'kalian', 'ngamuk', 'sih', 'selalu', 'pakai', 'kalau', 'misal', 'tibatiba', 'beruntus', 'atau', 'merah', 'kalau', 'beruntus', 'emang', 'gantung', 'apa', 'nya', 'si', 'kalau', 'merah', 'pagi', 'reda', 'banget']",Penggunaan Produk,negative
53,0,0.9735,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['so', 'far', 'so', 'good', 'baru', 'hampir', 'bulan', 'sih', 'pakai', 'ganti', 'ganti', 'toner', 'malam', 'muka', 'enak', 'feel', 'nya', 'adem', 'kalau', 'kulit', 'marah', 'adem', 'in', 'kulit', 'harga', 'jangkau', 'cukup', 'cocok', 'produk', 'brand', 'npure']",Penggunaan Produk,positive
54,1,0.8622,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['tonernya', 'oke', 'bangett', 'biasa', 'pakai', 'buat', 'ngompres', 'jerawat', 'banget', 'jerawat', 'bakal', 'kempes', 'besok', 'langsung', 'totally', 'hilang', 'mending', 'gituu', 'highly', 'recommended', 'kalau', 'dibarengin', 'peeling', 'bakal', 'lebih', 'cepet', 'kempes', 'jerawatnyaa']",Kualitas Produk,negative
55,1,0.493,"jerawat, pakai, toner, jadi, kulit, cocok, nya, banget, buat, kalau","['this', 'is', 'a', 'musy', 'have', 'product', 'buat', 'kalian', 'breakout', 'utama', 'cocok', 'gara', 'gara', 'treatment', 'wajah', 'bukan', 'tipe', 'mudah', 'jerawat', 'gara', 'gara', 'pergi', 'treatment', 'jadi', 'breakout', 'parah', 'iseng', 'coba', 'produk', 'kakel', 'jg', 'pakai', 'jerawat', 'sembuh']",Kualitas Produk,negative
56,0,0.977,"banget, pakai, jerawat, toner, kulit, cocok, produk, nya, wajah, muka","['beli', 'fdxbeauty', 'jogja', 'butuh', 'toner', 'hydrating', 'calming', 'pilih', 'jatuh', 'toner', 'cair', 'nonfragrance', 'cukup', 'melembabkan', 'mampu', 'tenang', 'bruntusan', 'metode', 'csm', 'lama', 'menit', 'lama', 'bulan', 'pakai', 'senang', 'hasil', 'bantu', 'rawat', 'jerawat', 'radang', 'terima', 'kasih', 'npure']",Penggunaan Produk,negative
